log_id,timestamp,user_id,user_name,user_role,action,table_affected,record_id,old_value,new_value,ip_address,device_info,status,error_message
AL-001703,2023-11-21 14:46:00,USER-002,Sita Devi,Environmental Officer,Reject,production_monthly,REC-01157,old_55,new_51,192.168.37.197,Windows 10,Success,
AL-001704,2023-01-22 18:13:00,USER-001,Rajesh Kumar,Safety Officer,Delete,environmental_readings,REC-03080,old_9,new_60,192.168.181.67,Windows 10,Success,
AL-001705,2023-05-03 16:29:00,USER-001,Rajesh Kumar,Safety Officer,Sync,mine_master,REC-09374,old_27,new_40,192.168.40.46,Linux,Success,
AL-001706,2023-03-24 05:08:00,USER-002,Sita Devi,Environmental Officer,Create,environmental_readings,REC-00978,old_66,new_31,192.168.106.229,Windows 10,Success,
AL-001707,2023-06-13 03:26:00,USER-002,Sita Devi,Environmental Officer,Sync,worker_attendance,REC-06689,old_74,new_10,192.168.212.194,Mac OS,Success,
AL-001708,2023-06-18 02:32:00,USER-001,Rajesh Kumar,Safety Officer,Approve,mine_master,REC-07289,old_9,new_9,192.168.120.18,Windows 10,Success,
AL-001709,2023-10-26 17:57:00,USER-001,Rajesh Kumar,Safety Officer,Delete,incidents,REC-04489,old_16,new_3,192.168.105.71,Linux,Failed,Permission denied
AL-001710,2023-07-26 22:39:00,USER-002,Sita Devi,Environmental Officer,Sync,production_monthly,REC-06406,old_53,new_75,192.168.166.126,Mac OS,Success,
AL-001711,2023-10-10 06:28:00,USER-002,Sita Devi,Environmental Officer,Update,inspections,REC-04534,old_90,new_85,192.168.22.28,Mac OS,Success,
AL-001712,2023-10-15 05:44:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_2,new_72,192.168.234.202,Windows 10,Success,
AL-001713,2023-05-24 05:26:00,USER-003,Amit Patel,Labour Inspector,Reject,incidents,REC-00101,old_14,new_58,192.168.162.105,Mac OS,Success,
AL-001714,2023-06-17 08:28:00,USER-002,Sita Devi,Environmental Officer,Create,contractors,REC-08875,old_66,new_93,192.168.129.209,Windows 10,Success,
AL-001715,2023-10-29 04:47:00,USER-002,Sita Devi,Environmental Officer,Approve,inspections,REC-03254,old_83,new_77,192.168.86.126,Windows 10,Success,
AL-001716,2023-10-22 18:19:00,USER-003,Amit Patel,Labour Inspector,Reject,environmental_readings,REC-06136,old_3,new_67,192.168.168.114,Mac OS,Success,
AL-001717,2023-10-23 05:08:00,USER-002,Sita Devi,Environmental Officer,Sync,contractors,REC-03218,old_59,new_82,192.168.111.197,Windows 10,Success,
AL-001718,2023-11-20 16:00:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_15,new_61,192.168.187.178,Mac OS,Success,
AL-001719,2023-11-07 13:31:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_37,new_48,192.168.133.92,Linux,Success,
AL-001720,2023-03-09 18:15:00,USER-002,Sita Devi,Environmental Officer,Sync,mine_master,REC-03573,old_97,new_86,192.168.27.120,Linux,Success,
AL-001721,2023-10-06 09:43:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_25,new_63,192.168.86.44,Mac OS,Success,
AL-001722,2023-02-19 07:40:00,USER-003,Amit Patel,Labour Inspector,Delete,equipment,REC-04500,old_36,new_85,192.168.97.160,Mac OS,Success,
AL-001723,2023-11-30 00:46:00,USER-001,Rajesh Kumar,Safety Officer,Create,grievances,REC-05621,old_1,new_88,192.168.236.104,Mac OS,Success,
AL-001724,2023-11-11 08:28:00,USER-003,Amit Patel,Labour Inspector,Update,production_monthly,REC-04329,old_77,new_94,192.168.210.12,Windows 10,Success,
AL-001725,2023-02-08 03:39:00,USER-002,Sita Devi,Environmental Officer,Approve,incidents,REC-03125,old_2,new_7,192.168.233.249,Mac OS,Success,
AL-001726,2023-08-08 00:31:00,USER-002,Sita Devi,Environmental Officer,Sync,mine_master,REC-02890,old_21,new_49,192.168.241.40,Windows 10,Success,
AL-001727,2023-12-07 22:38:00,USER-001,Rajesh Kumar,Safety Officer,Delete,inspections,REC-01986,old_48,new_26,192.168.170.30,Windows 10,Success,
AL-001728,2023-10-07 06:27:00,USER-001,Rajesh Kumar,Safety Officer,Sync,worker_attendance,REC-01595,old_57,new_63,192.168.3.135,Windows 10,Success,
AL-001729,2023-10-09 11:04:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_5,new_11,192.168.46.46,Windows 10,Success,
AL-001730,2023-05-11 18:22:00,USER-002,Sita Devi,Environmental Officer,Sync,contractors,REC-05106,old_65,new_13,192.168.116.69,Mac OS,Success,
AL-001731,2023-03-01 00:47:00,USER-002,Sita Devi,Environmental Officer,Update,corrective_actions,REC-03400,old_72,new_63,192.168.164.2,Linux,Success,
AL-001732,2023-07-19 21:37:00,USER-002,Sita Devi,Environmental Officer,Update,mine_master,REC-06989,old_10,new_55,192.168.6.185,Windows 10,Success,
AL-001733,2023-09-27 03:43:00,USER-002,Sita Devi,Environmental Officer,Approve,equipment,REC-01756,old_61,new_59,192.168.118.77,Linux,Success,
AL-001734,2023-11-26 04:28:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_46,new_52,192.168.13.85,Mac OS,Success,
AL-001735,2023-03-26 15:51:00,USER-001,Rajesh Kumar,Safety Officer,Reject,production_monthly,REC-03492,old_55,new_20,192.168.197.124,Windows 10,Success,
AL-001736,2023-10-05 01:30:00,USER-003,Amit Patel,Labour Inspector,Sync,production_monthly,REC-00583,old_54,new_65,192.168.178.82,Linux,Success,
AL-001737,2023-08-06 21:55:00,USER-003,Amit Patel,Labour Inspector,Reject,worker_attendance,REC-01677,old_47,new_4,192.168.50.246,Mac OS,Success,
AL-001738,2023-04-14 08:57:00,USER-003,Amit Patel,Labour Inspector,Reject,incidents,REC-06894,old_67,new_31,192.168.174.26,Linux,Success,
AL-001739,2023-11-05 22:48:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_71,new_15,192.168.183.148,Windows 10,Success,
AL-001740,2023-04-20 04:19:00,USER-001,Rajesh Kumar,Safety Officer,Create,contractors,REC-00489,old_40,new_71,192.168.55.188,Mac OS,Success,
AL-001741,2023-02-20 03:08:00,USER-001,Rajesh Kumar,Safety Officer,Update,grievances,REC-03287,old_74,new_58,192.168.207.102,Linux,Success,
AL-001742,2023-06-25 22:11:00,USER-002,Sita Devi,Environmental Officer,Create,worker_attendance,REC-03688,old_55,new_22,192.168.223.140,Linux,Success,
AL-001743,2023-05-28 21:54:00,USER-003,Amit Patel,Labour Inspector,Create,grievances,REC-02534,old_35,new_83,192.168.85.191,Windows 10,Success,
AL-001744,2023-11-08 17:04:00,USER-002,Sita Devi,Environmental Officer,Reject,corrective_actions,REC-03729,old_30,new_55,192.168.167.140,Windows 10,Success,
AL-001745,2023-01-19 18:46:00,USER-001,Rajesh Kumar,Safety Officer,Sync,corrective_actions,REC-07141,old_28,new_91,192.168.4.140,Mac OS,Success,
AL-001746,2023-04-21 17:10:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_76,new_92,192.168.26.116,Windows 10,Success,
AL-001747,2023-05-12 19:25:00,USER-002,Sita Devi,Environmental Officer,Approve,documents,REC-07805,old_24,new_8,192.168.206.80,Linux,Success,
AL-001748,2023-07-13 02:14:00,USER-003,Amit Patel,Labour Inspector,Approve,worker_attendance,REC-09665,old_100,new_1,192.168.130.125,Mac OS,Success,
AL-001749,2023-01-03 11:44:00,USER-002,Sita Devi,Environmental Officer,Approve,contractors,REC-08009,old_83,new_31,192.168.8.183,Windows 10,Success,
AL-001750,2023-06-17 18:45:00,USER-002,Sita Devi,Environmental Officer,Create,worker_attendance,REC-00352,old_61,new_51,192.168.80.214,Mac OS,Success,
AL-001751,2023-08-24 10:46:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_14,new_11,192.168.159.248,Mac OS,Success,
AL-001752,2023-10-27 04:40:00,USER-003,Amit Patel,Labour Inspector,Approve,production_monthly,REC-07293,old_47,new_36,192.168.98.216,Linux,Success,
AL-001753,2023-06-17 06:44:00,USER-001,Rajesh Kumar,Safety Officer,Sync,production_monthly,REC-05459,old_31,new_97,192.168.20.137,Windows 10,Success,
AL-001754,2023-11-18 20:45:00,USER-003,Amit Patel,Labour Inspector,Reject,contractors,REC-00835,old_19,new_70,192.168.219.250,Windows 10,Success,
AL-001755,2023-07-28 00:19:00,USER-001,Rajesh Kumar,Safety Officer,Sync,documents,REC-09605,old_36,new_5,192.168.19.155,Windows 10,Success,
AL-001756,2023-10-25 11:42:00,USER-003,Amit Patel,Labour Inspector,Create,inspections,REC-03329,old_96,new_79,192.168.219.129,Windows 10,Success,
AL-001757,2023-06-10 18:39:00,USER-003,Amit Patel,Labour Inspector,Delete,inspections,REC-03991,old_2,new_58,192.168.236.147,Linux,Success,
AL-001758,2023-04-18 23:06:00,USER-003,Amit Patel,Labour Inspector,Reject,grievances,REC-08292,old_31,new_87,192.168.225.246,Windows 10,Success,
AL-001759,2023-01-17 03:15:00,USER-002,Sita Devi,Environmental Officer,Approve,grievances,REC-03779,old_79,new_46,192.168.177.220,Linux,Success,
AL-001760,2023-12-31 12:45:00,USER-002,Sita Devi,Environmental Officer,Create,incidents,REC-07854,old_89,new_47,192.168.10.58,Mac OS,Failed,Database timeout
AL-001761,2023-04-25 03:25:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_86,new_5,192.168.195.199,Linux,Success,
AL-001762,2023-08-19 00:14:00,USER-002,Sita Devi,Environmental Officer,Delete,production_monthly,REC-04330,old_20,new_66,192.168.154.92,Windows 10,Success,
AL-001763,2023-10-15 01:13:00,USER-001,Rajesh Kumar,Safety Officer,Delete,mine_master,REC-09248,old_95,new_37,192.168.217.150,Linux,Success,
AL-001764,2023-05-25 07:54:00,USER-001,Rajesh Kumar,Safety Officer,Delete,grievances,REC-07751,old_74,new_25,192.168.191.188,Mac OS,Failed,Database timeout
AL-001765,2023-05-20 08:21:00,USER-002,Sita Devi,Environmental Officer,Delete,equipment,REC-03301,old_2,new_69,192.168.89.148,Mac OS,Success,
AL-001766,2023-02-15 13:50:00,USER-003,Amit Patel,Labour Inspector,Approve,mine_master,REC-01941,old_64,new_37,192.168.183.246,Windows 10,Success,
AL-001767,2023-09-02 16:25:00,USER-001,Rajesh Kumar,Safety Officer,Reject,incidents,REC-09205,old_53,new_39,192.168.172.130,Windows 10,Success,
AL-001768,2023-12-27 05:10:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_29,new_37,192.168.26.60,Mac OS,Success,
AL-001769,2023-06-13 07:59:00,USER-003,Amit Patel,Labour Inspector,Delete,environmental_readings,REC-09604,old_45,new_91,192.168.155.157,Linux,Success,
AL-001770,2023-01-16 00:51:00,USER-001,Rajesh Kumar,Safety Officer,Reject,contractors,REC-05636,old_17,new_67,192.168.108.178,Windows 10,Success,
AL-001771,2023-03-28 16:35:00,USER-003,Amit Patel,Labour Inspector,Create,mine_master,REC-08144,old_69,new_18,192.168.87.162,Linux,Success,
AL-001772,2023-03-10 17:33:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_25,new_24,192.168.254.27,Linux,Success,
AL-001773,2023-03-29 20:04:00,USER-003,Amit Patel,Labour Inspector,Reject,documents,REC-04512,old_93,new_35,192.168.138.70,Windows 10,Success,
AL-001774,2023-03-13 16:55:00,USER-002,Sita Devi,Environmental Officer,Sync,incidents,REC-05243,old_50,new_85,192.168.214.151,Linux,Success,
AL-001775,2023-03-12 20:51:00,USER-003,Amit Patel,Labour Inspector,Sync,production_monthly,REC-06499,old_40,new_13,192.168.238.33,Windows 10,Success,
AL-001776,2023-12-06 20:56:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_35,new_12,192.168.220.83,Windows 10,Success,
AL-001777,2023-06-18 20:18:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_32,new_89,192.168.122.236,Windows 10,Success,
AL-001778,2023-07-14 04:02:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_73,new_1,192.168.91.33,Mac OS,Success,
AL-001779,2023-07-28 16:41:00,USER-003,Amit Patel,Labour Inspector,Delete,inspections,REC-03790,old_33,new_69,192.168.144.205,Mac OS,Success,
AL-001780,2023-08-04 11:06:00,USER-001,Rajesh Kumar,Safety Officer,Sync,inspections,REC-08001,old_88,new_76,192.168.160.117,Windows 10,Success,
AL-001781,2023-09-27 01:58:00,USER-002,Sita Devi,Environmental Officer,Sync,production_monthly,REC-08083,old_12,new_81,192.168.193.58,Linux,Success,
AL-001782,2023-12-21 15:59:00,USER-002,Sita Devi,Environmental Officer,Delete,production_monthly,REC-00090,old_4,new_100,192.168.28.85,Mac OS,Success,
AL-001783,2023-10-06 10:37:00,USER-002,Sita Devi,Environmental Officer,Create,mine_master,REC-07706,old_100,new_92,192.168.227.1,Mac OS,Failed,Permission denied
AL-001784,2023-09-21 13:07:00,USER-003,Amit Patel,Labour Inspector,Approve,documents,REC-00736,old_37,new_67,192.168.39.196,Windows 10,Success,
AL-001785,2023-04-02 08:49:00,USER-001,Rajesh Kumar,Safety Officer,Reject,equipment,REC-04206,old_88,new_54,192.168.214.158,Linux,Success,
AL-001786,2023-11-17 12:06:00,USER-002,Sita Devi,Environmental Officer,Approve,mine_master,REC-09901,old_3,new_10,192.168.226.11,Windows 10,Failed,Permission denied
AL-001787,2023-12-28 11:11:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_98,new_51,192.168.76.113,Mac OS,Success,
AL-001788,2023-03-08 12:59:00,USER-001,Rajesh Kumar,Safety Officer,Update,grievances,REC-05029,old_33,new_15,192.168.56.49,Windows 10,Success,
AL-001789,2023-12-04 12:10:00,USER-001,Rajesh Kumar,Safety Officer,Delete,inspections,REC-07906,old_57,new_82,192.168.65.224,Linux,Success,
AL-001790,2023-10-08 17:19:00,USER-002,Sita Devi,Environmental Officer,Update,equipment,REC-01073,old_2,new_25,192.168.20.226,Mac OS,Success,
AL-001791,2023-11-26 21:33:00,USER-002,Sita Devi,Environmental Officer,Create,contractors,REC-08935,old_10,new_85,192.168.157.119,Windows 10,Success,
AL-001792,2023-05-23 00:52:00,USER-003,Amit Patel,Labour Inspector,Delete,grievances,REC-04185,old_5,new_45,192.168.223.127,Windows 10,Success,
AL-001793,2023-01-10 14:20:00,USER-002,Sita Devi,Environmental Officer,Reject,incidents,REC-08793,old_28,new_74,192.168.8.124,Linux,Success,
AL-001794,2023-10-14 20:18:00,USER-002,Sita Devi,Environmental Officer,Update,documents,REC-09086,old_7,new_9,192.168.202.163,Windows 10,Success,
AL-001795,2023-04-17 11:58:00,USER-003,Amit Patel,Labour Inspector,Approve,environmental_readings,REC-03213,old_96,new_29,192.168.74.178,Mac OS,Success,
AL-001796,2023-04-21 19:28:00,USER-001,Rajesh Kumar,Safety Officer,Update,corrective_actions,REC-03142,old_21,new_50,192.168.22.240,Mac OS,Success,
AL-001797,2023-08-27 15:19:00,USER-003,Amit Patel,Labour Inspector,Approve,incidents,REC-00606,old_18,new_58,192.168.93.254,Mac OS,Success,
AL-001798,2023-08-21 03:45:00,USER-002,Sita Devi,Environmental Officer,Approve,mine_master,REC-04154,old_32,new_9,192.168.45.199,Linux,Success,
AL-001799,2023-09-18 05:35:00,USER-002,Sita Devi,Environmental Officer,Delete,incidents,REC-06471,old_22,new_55,192.168.46.33,Linux,Success,
AL-001800,2023-06-24 19:46:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_60,new_91,192.168.206.150,Linux,Success,
AL-001801,2023-12-23 23:30:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_18,new_93,192.168.71.188,Windows 10,Success,
AL-001802,2023-12-12 05:38:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_90,new_100,192.168.103.227,Linux,Success,
AL-001803,2023-03-15 17:27:00,USER-001,Rajesh Kumar,Safety Officer,Reject,production_monthly,REC-07766,old_6,new_22,192.168.136.41,Linux,Success,
AL-001804,2023-09-16 18:20:00,USER-002,Sita Devi,Environmental Officer,Create,incidents,REC-08196,old_78,new_98,192.168.188.205,Mac OS,Success,
AL-001805,2023-08-21 21:18:00,USER-001,Rajesh Kumar,Safety Officer,Update,mine_master,REC-05872,old_56,new_88,192.168.40.44,Mac OS,Success,
AL-001806,2023-12-29 15:41:00,USER-002,Sita Devi,Environmental Officer,Delete,mine_master,REC-01672,old_40,new_39,192.168.53.140,Windows 10,Success,
AL-001807,2023-08-01 02:15:00,USER-002,Sita Devi,Environmental Officer,Approve,contractors,REC-05628,old_97,new_86,192.168.214.6,Mac OS,Success,
AL-001808,2023-12-05 13:16:00,USER-003,Amit Patel,Labour Inspector,Approve,environmental_readings,REC-07746,old_7,new_58,192.168.169.19,Windows 10,Success,
AL-001809,2023-09-01 20:27:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_12,new_13,192.168.177.255,Mac OS,Success,
AL-001810,2023-03-27 10:24:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_73,new_43,192.168.221.177,Mac OS,Success,
AL-001811,2023-06-01 00:57:00,USER-001,Rajesh Kumar,Safety Officer,Update,equipment,REC-00811,old_26,new_72,192.168.201.201,Mac OS,Success,
AL-001812,2023-05-24 18:21:00,USER-001,Rajesh Kumar,Safety Officer,Create,production_monthly,REC-09656,old_18,new_50,192.168.20.138,Linux,Success,
AL-001813,2023-09-15 22:27:00,USER-002,Sita Devi,Environmental Officer,Approve,mine_master,REC-05421,old_64,new_45,192.168.83.114,Linux,Success,
AL-001814,2023-05-03 19:20:00,USER-003,Amit Patel,Labour Inspector,Reject,production_monthly,REC-05490,old_15,new_81,192.168.230.201,Mac OS,Success,
AL-001815,2023-10-20 00:19:00,USER-001,Rajesh Kumar,Safety Officer,Update,environmental_readings,REC-02419,old_60,new_76,192.168.12.74,Mac OS,Failed,Invalid ID
AL-001816,2023-03-06 15:42:00,USER-001,Rajesh Kumar,Safety Officer,Sync,grievances,REC-03984,old_100,new_58,192.168.130.87,Linux,Success,
AL-001817,2023-01-19 01:42:00,USER-001,Rajesh Kumar,Safety Officer,Delete,contractors,REC-04739,old_45,new_41,192.168.24.58,Windows 10,Success,
AL-001818,2023-02-06 22:45:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_99,new_60,192.168.202.77,Windows 10,Success,
AL-001819,2023-02-28 07:06:00,USER-001,Rajesh Kumar,Safety Officer,Sync,environmental_readings,REC-04048,old_15,new_70,192.168.242.92,Windows 10,Success,
AL-001820,2023-12-29 18:45:00,USER-001,Rajesh Kumar,Safety Officer,Approve,mine_master,REC-03681,old_94,new_2,192.168.193.200,Linux,Failed,Permission denied
AL-001821,2023-09-16 10:19:00,USER-003,Amit Patel,Labour Inspector,Reject,corrective_actions,REC-00969,old_52,new_59,192.168.77.183,Windows 10,Success,
AL-001822,2023-09-10 11:16:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_30,new_26,192.168.128.163,Linux,Success,
AL-001823,2023-05-31 23:16:00,USER-002,Sita Devi,Environmental Officer,Update,equipment,REC-09129,old_35,new_7,192.168.159.97,Linux,Failed,Permission denied
AL-001824,2023-01-12 11:29:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_69,new_5,192.168.75.79,Mac OS,Success,
AL-001825,2023-04-25 22:28:00,USER-003,Amit Patel,Labour Inspector,Approve,production_monthly,REC-01932,old_39,new_30,192.168.34.148,Windows 10,Success,
AL-001826,2023-03-17 05:30:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_88,new_2,192.168.222.215,Linux,Success,
AL-001827,2023-06-09 13:37:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_47,new_87,192.168.86.221,Linux,Success,
AL-001828,2023-11-09 13:14:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_3,new_56,192.168.206.164,Linux,Success,
AL-001829,2023-12-19 05:07:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_99,new_86,192.168.159.184,Mac OS,Success,
AL-001830,2023-07-31 14:44:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_87,new_28,192.168.173.105,Windows 10,Success,
AL-001831,2023-07-01 20:32:00,USER-001,Rajesh Kumar,Safety Officer,Sync,incidents,REC-03412,old_31,new_14,192.168.231.111,Linux,Success,
AL-001832,2023-10-07 21:48:00,USER-003,Amit Patel,Labour Inspector,Approve,documents,REC-09716,old_16,new_100,192.168.95.107,Windows 10,Success,
AL-001833,2023-08-20 06:13:00,USER-001,Rajesh Kumar,Safety Officer,Sync,production_monthly,REC-01152,old_83,new_29,192.168.231.197,Windows 10,Success,
AL-001834,2023-04-28 22:03:00,USER-003,Amit Patel,Labour Inspector,Update,contractors,REC-05578,old_26,new_1,192.168.116.217,Windows 10,Success,
AL-001835,2023-11-24 03:24:00,USER-002,Sita Devi,Environmental Officer,Reject,documents,REC-07802,old_45,new_90,192.168.101.158,Windows 10,Success,
AL-001836,2023-05-05 08:42:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_28,new_49,192.168.211.41,Linux,Success,
AL-001837,2023-01-30 00:50:00,USER-002,Sita Devi,Environmental Officer,Update,inspections,REC-06931,old_16,new_39,192.168.50.190,Mac OS,Success,
AL-001838,2023-11-08 11:06:00,USER-003,Amit Patel,Labour Inspector,Reject,incidents,REC-03916,old_30,new_55,192.168.10.102,Mac OS,Success,
AL-001839,2023-07-17 13:37:00,USER-001,Rajesh Kumar,Safety Officer,Create,contractors,REC-04930,old_28,new_43,192.168.200.147,Windows 10,Success,
AL-001840,2023-01-29 20:06:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_79,new_45,192.168.129.172,Linux,Success,
AL-001841,2023-12-12 14:43:00,USER-002,Sita Devi,Environmental Officer,Create,inspections,REC-04420,old_38,new_10,192.168.44.89,Windows 10,Success,
AL-001842,2023-06-21 17:28:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_58,new_10,192.168.200.238,Linux,Success,
AL-001843,2023-11-15 07:58:00,USER-001,Rajesh Kumar,Safety Officer,Reject,grievances,REC-02105,old_39,new_62,192.168.228.9,Windows 10,Failed,Database timeout
AL-001844,2023-06-10 17:00:00,USER-001,Rajesh Kumar,Safety Officer,Approve,contractors,REC-08790,old_52,new_35,192.168.243.222,Linux,Success,
AL-001845,2023-02-02 08:05:00,USER-003,Amit Patel,Labour Inspector,Approve,inspections,REC-02210,old_72,new_50,192.168.239.120,Mac OS,Success,
AL-001846,2023-11-21 18:00:00,USER-001,Rajesh Kumar,Safety Officer,Update,corrective_actions,REC-03211,old_26,new_15,192.168.38.121,Mac OS,Success,
AL-001847,2023-09-02 12:53:00,USER-002,Sita Devi,Environmental Officer,Delete,production_monthly,REC-07407,old_68,new_77,192.168.69.64,Windows 10,Success,
AL-001848,2023-03-07 08:53:00,USER-003,Amit Patel,Labour Inspector,Update,contractors,REC-07630,old_37,new_71,192.168.49.171,Mac OS,Success,
AL-001849,2023-01-07 11:45:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_58,new_30,192.168.36.204,Linux,Success,
AL-001850,2023-10-18 05:55:00,USER-001,Rajesh Kumar,Safety Officer,Approve,grievances,REC-03905,old_65,new_95,192.168.165.235,Linux,Failed,Permission denied
AL-001851,2023-10-02 03:00:00,USER-003,Amit Patel,Labour Inspector,Create,equipment,REC-06671,old_97,new_47,192.168.185.28,Linux,Success,
AL-001852,2023-06-25 02:36:00,USER-001,Rajesh Kumar,Safety Officer,Create,equipment,REC-06593,old_13,new_11,192.168.127.48,Linux,Success,
AL-001853,2023-06-16 18:20:00,USER-002,Sita Devi,Environmental Officer,Create,incidents,REC-03276,old_35,new_83,192.168.142.246,Linux,Success,
AL-001854,2023-11-03 16:43:00,USER-003,Amit Patel,Labour Inspector,Delete,grievances,REC-09886,old_53,new_27,192.168.121.86,Windows 10,Success,
AL-001855,2023-05-01 05:58:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_11,new_89,192.168.168.68,Linux,Success,
AL-001856,2023-12-02 23:08:00,USER-002,Sita Devi,Environmental Officer,Delete,mine_master,REC-05463,old_7,new_93,192.168.157.252,Windows 10,Success,
AL-001857,2023-12-20 02:08:00,USER-002,Sita Devi,Environmental Officer,Delete,production_monthly,REC-07415,old_39,new_10,192.168.48.191,Linux,Success,
AL-001858,2023-12-20 18:32:00,USER-003,Amit Patel,Labour Inspector,Reject,mine_master,REC-06000,old_20,new_20,192.168.1.90,Windows 10,Success,
AL-001859,2023-03-07 23:16:00,USER-003,Amit Patel,Labour Inspector,Create,documents,REC-02994,old_67,new_92,192.168.53.190,Windows 10,Success,
AL-001860,2023-05-01 15:15:00,USER-003,Amit Patel,Labour Inspector,Sync,documents,REC-01034,old_70,new_51,192.168.75.50,Windows 10,Success,
AL-001861,2023-01-25 13:59:00,USER-003,Amit Patel,Labour Inspector,Create,worker_attendance,REC-06215,old_10,new_51,192.168.218.224,Mac OS,Success,
AL-001862,2023-08-17 16:13:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_18,new_94,192.168.163.9,Linux,Success,
AL-001863,2023-01-21 22:38:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_91,new_51,192.168.190.103,Mac OS,Success,
AL-001864,2023-02-20 16:12:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_58,new_41,192.168.106.154,Windows 10,Success,
AL-001865,2023-07-04 16:48:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_69,new_68,192.168.141.22,Windows 10,Success,
AL-001866,2023-04-03 05:14:00,USER-002,Sita Devi,Environmental Officer,Delete,corrective_actions,REC-01664,old_65,new_56,192.168.46.179,Windows 10,Success,
AL-001867,2023-07-21 10:48:00,USER-001,Rajesh Kumar,Safety Officer,Approve,equipment,REC-05172,old_27,new_6,192.168.2.120,Windows 10,Success,
AL-001868,2023-02-07 14:58:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_78,new_68,192.168.240.95,Linux,Success,
AL-001869,2023-02-03 21:44:00,USER-003,Amit Patel,Labour Inspector,Create,grievances,REC-02834,old_13,new_9,192.168.246.7,Mac OS,Success,
AL-001870,2023-05-05 07:37:00,USER-001,Rajesh Kumar,Safety Officer,Delete,mine_master,REC-03887,old_60,new_84,192.168.68.28,Windows 10,Success,
AL-001871,2023-05-12 14:24:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_4,new_67,192.168.206.64,Linux,Success,
AL-001872,2023-07-20 00:35:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_66,new_43,192.168.241.102,Linux,Success,
AL-001873,2023-06-26 05:59:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_73,new_22,192.168.250.30,Mac OS,Failed,Database timeout
AL-001874,2023-10-13 07:47:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_60,new_76,192.168.215.8,Windows 10,Success,
AL-001875,2023-07-19 01:05:00,USER-001,Rajesh Kumar,Safety Officer,Sync,contractors,REC-00220,old_36,new_69,192.168.153.63,Windows 10,Success,
AL-001876,2023-09-14 17:45:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_38,new_17,192.168.192.236,Mac OS,Success,
AL-001877,2023-03-16 00:00:00,USER-002,Sita Devi,Environmental Officer,Reject,grievances,REC-06546,old_98,new_29,192.168.116.106,Linux,Success,
AL-001878,2023-11-04 23:07:00,USER-001,Rajesh Kumar,Safety Officer,Approve,production_monthly,REC-07328,old_92,new_92,192.168.190.210,Mac OS,Success,
AL-001879,2023-12-02 17:50:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_96,new_10,192.168.130.223,Linux,Success,
AL-001880,2023-08-29 13:07:00,USER-002,Sita Devi,Environmental Officer,Update,environmental_readings,REC-08954,old_45,new_87,192.168.146.230,Windows 10,Success,
AL-001881,2023-03-26 05:54:00,USER-002,Sita Devi,Environmental Officer,Create,equipment,REC-06766,old_6,new_90,192.168.104.215,Mac OS,Success,
